Tag Hierarchy Report
====================

Genericity scores:
humor: 7.4222
funny: 5.7558
banks: 4.5678
insurance: 2.4302
universities: 4.7058
online learning: 4.0409
public services: 1.4793
legal: 4.0480
judiciary: 2.4677
healthcare: 14.6523
hospitals: 6.2846
telecommunications: 3.2048
anime: 6.0441
nonprofits: 4.8732
ngos: 5.3267
ecommerce: 6.1763
online store: 2.1870
corporate: 0.7581
blog: 1.8435
personal blog: 1.8291
portfolio: 0.7588
creative work: 2.2032
event: 18.5614
event promotion: 8.4352
personal: 4.9462
resume: 0.0000
membership: 0.8412
community: 3.8391
nonprofit: 4.7976
charity: 7.6834
informational: 6.1903
forum: 2.5130
discussion: 2.9494
social network: 2.5728
startup: 3.6506
entrepreneur: 4.2207
consulting: 0.9711
professional services: 2.2031
booking: 1.5365
appointments: 0.8072
petition: 0.7409
activism: 1.4546
school: 13.8721
hobby: 10.1942
interest: 2.3209
interactive: 1.4858
engagement: 2.4932
wedding: 4.4116
event planning: 3.2205
tourism: 15.1862
directory: 0.7426
listing: 2.1259
landing page: 0.0000
magazine: 4.5434
memorial: 2.3968
tribute: 1.6694
subscription: 2.3743
content service: 0.7172
kid-friendly: 4.5842
children: 10.0695
novels and literature: 7.5708
movies and tv shows: 7.0947
music and audio: 8.5821
arts and culture: 4.0342
investment & trading: 0.9391
e-commerce & retail: 3.8473
business services: 3.8619
universities & colleges: 3.1688
k-12 & schools: 2.3656
online learning & moocs: 2.9729
professional development: 0.7112
educational resources: 1.5880
federal, state, & local: 0.0000
public safety & law enforcement: 0.0000
judiciary & legal: 2.7338
public utilities & infrastructure: 0.0000
civic engagement: 0.0000
hospitals & clinics: 1.7788
health information & wellness: 3.3831
pharmaceutical & drug information: 2.4600
fitness & lifestyle: 5.7011
mental health & counseling: 1.5172
tech companies & startups: 3.5370
research & development: 1.5083
gadgets & reviews: 1.8029
software & applications: 2.3898
scientific organizations: 2.2752
general news portals: 2.9927
local & community news: 3.2360
specialized magazines & blogs: 2.4234
journalism & opinion: 2.1750
entertainment news: 6.4174
social: 3.1619
social networking: 2.5839
online forums & discussion boards: 2.3842
nonprofits & ngos: 4.7256
cultural & community events: 6.2488
travel & tourism: 3.3820
food & dining: 3.1593
fashion & beauty: 3.3904
home & garden: 2.3175
personal finance & lifestyle management: 3.0672
professional leagues & teams: 0.7695
sports news & analysis: 2.3339
fan communities & forums: 2.3613
fitness & outdoor sports: 12.9163
law firms & legal services: 1.5230
legal information & resources: 3.1506
regulatory & compliance: 0.0000
hobbies: 13.9370
arts & crafts: 7.1342
photography & videography: 3.1268
gaming (hobbyist): 3.4291
uncategorized: 0.0000
car culture: 2.6094
road-side assistance: 0.7592
scooters: 2.3416
auto buying and selling: 3.8711
auto insurance: 4.7197
auto parts: 3.1818
auto recalls: 1.4586
auto repair: 3.0774
auto safety: 3.2139
auto shows: 2.2909
auto infotainment technologies: 3.1238
auto navigation systems: 0.7511
auto safety technologies: 4.0118
auto rentals: 1.4616
books and literature: 7.3331
art and photography books: 5.2861
biographies: 0.7365
children's literature: 8.5361
comics and graphic novels: 4.6829
cookbooks: 7.0665
fiction: 6.9481
travel books: 5.9369
young adult literature: 2.3022
business and finance: 3.5836
business accounting & finance: 3.3949
human resources: 0.0000
logistics: 0.9199
marketing and advertising: 4.7822
small and medium-sized business: 2.3200
business administration: 1.5728
business banking & finance: 4.2572
business i.t.: 0.8784
business operations: 3.1782
consumer issues: 0.7220
executive leadership & management: 0.0000
green solutions: 0.7619
business utilities: 1.5176
economy: 1.4016
advertising industry: 6.7440
education industry: 3.1156
entertainment industry: 15.6134
environmental services industry: 2.2038
financial industry: 7.2774
food industry: 8.1032
healthcare industry: 9.8653
hospitality industry: 3.6692
information services industry: 2.9261
legal services industry: 3.0655
logistics and transportation industry: 5.2514
agriculture: 4.0083
management consulting industry: 0.9711
manufacturing industry: 19.3271
mechanical and industrial engineering industry: 8.2819
media industry: 7.7202
metals industry: 5.2227
non-profit organizations: 5.0173
pharmaceutical industry: 8.2233
power and energy industry: 2.1821
publishing industry: 5.9091
real estate industry: 8.6717
apparel industry: 10.1795
retail industry: 8.1151
technology industry: 17.1808
telecommunications industry: 4.6642
automotive industry: 9.3224
aviation industry: 10.1562
biotech and biomedical industry: 5.1996
civil engineering industry: 5.9368
construction industry: 6.6896
defense industry: 2.1468
careers: 4.7591
apprenticeships: 2.2163
career advice: 1.7246
career planning: 1.7006
job search: 0.7615
remote working: 0.0000
vocational training: 0.7635
adult education: 1.5955
private school: 1.6543
secondary education: 2.4219
special education: 1.6147
college education: 6.8898
postgraduate education: 1.4839
early childhood education: 3.7617
educational assessment: 0.7900
homeschooling: 4.4574
homework and study: 2.8814
language learning: 3.1906
online education: 4.0338
primary education: 4.6658
events and attractions: 9.4521
amusement and theme parks: 3.7402
fashion events: 7.8084
historic site and landmark tours: 2.2325
malls & shopping centers: 0.8196
museums & galleries: 0.7310
musicals: 2.9760
national & civic holidays: 0.9026
nightclubs: 9.5238
outdoor activities: 12.0521
parks & nature: 0.8985
party supplies and decorations: 0.7456
awards shows: 1.4898
personal celebrations & life events: 3.8510
political event: 5.7078
religious events: 9.1310
sporting events: 15.4243
theater venues and events: 7.2710
zoos & aquariums: 4.5901
bars & restaurants: 2.9637
business expos & conferences: 3.0149
casinos & gambling: 6.5189
cinemas and events: 13.2938
comedy events: 6.4520
concerts & music events: 11.1879
fan conventions: 0.0000
family and relationships: 3.1301
bereavement: 1.4626
dating: 0.7167
divorce: 0.8382
eldercare: 1.4918
marriage and civil unions: 2.4404
fine art: 1.8044
costume: 2.9274
dance: 8.2356
digital arts: 0.8585
fine art photography: 4.0865
modern art: 1.6552
opera: 2.2118
theater: 12.0670
food & drink: 3.7809
alcoholic beverages: 1.5783
vegan diets: 1.5975
vegetarian diets: 2.3404
world cuisines: 3.0590
barbecues and grilling: 2.3280
desserts and baking: 3.0516
dining out: 1.5192
food allergies: 1.8551
food movements: 3.7692
healthy cooking and eating: 5.3731
non-alcoholic beverages: 0.8708
healthy living: 4.0031
children's health: 4.7126
participant sports: 16.3494
running and jogging: 1.6071
men's health: 3.0178
senior health: 2.3702
weight loss: 0.0000
alternative medicine: 0.7267
physical therapy: 0.7093
smoking cessation: 0.7112
women's health: 3.8046
hobbies & interests: 4.1709
antiquing and antiques: 0.7121
magic and illusion: 0.0000
model toys: 1.4295
musical instruments: 3.0765
paranormal phenomena: 1.4205
radio control: 0.0000
sci-fi and fantasy: 1.4465
workshops and classes: 3.7183
arts and crafts: 8.7572
beadwork: 3.8375
candle and soap making: 2.1976
drawing and sketching: 5.1008
needlework: 3.7796
painting: 7.4376
woodworking: 5.9707
beekeeping: 0.0000
birdwatching: 3.9076
cigars: 1.4530
comic books: 2.6200
stamps and coins: 0.7164
audio production: 2.2308
freelance writing: 1.6574
screenwriting: 2.4236
video production: 1.4967
board games and puzzles: 5.3028
card games: 5.2750
roleplaying games: 4.6088
genealogy and ancestry: 3.0527
gardening: 3.3199
remodeling & construction: 0.0000
smart home: 0.0000
home appliances: 1.4775
home entertaining: 1.5907
home security: 0.0000
indoor environmental quality: 0.7954
interior decorating: 1.6091
landscaping: 3.1233
outdoor decorating: 4.5182
medical health: 7.0802
allergies: 1.0782
ear, nose and throat conditions: 0.7304
endocrine and metabolic diseases: 2.1665
eye and vision conditions: 1.4622
foot health: 2.3999
heart and cardiovascular diseases: 3.6757
infectious diseases: 2.1707
injuries: 2.1792
lung and respiratory health: 1.5546
reproductive health: 3.1053
blood disorders: 2.9274
sexual health: 3.0723
skin and dermatology: 0.0000
sleep disorders: 1.4595
substance abuse: 0.0000
bone and joint conditions: 1.4628
brain and nervous system disorders: 2.9410
cancer: 0.0000
cold and flu: 0.7515
dental health: 2.3669
diabetes: 2.1609
digestive disorders: 2.1688
medical tests: 2.2214
pharmaceutical drugs: 1.5914
surgery: 2.1561
vaccines: 0.7260
cosmetic medical services: 2.1990
action and adventure movies: 9.8728
romance movies: 7.0761
science fiction movies: 6.2143
indie and arthouse movies: 2.4241
animation movies: 7.6569
comedy movies: 7.2480
crime and mystery movies: 6.2645
documentary movies: 4.0537
drama movies: 7.6961
family and children movies: 6.3513
fantasy movies: 7.7484
horror movies: 9.2529
world movies: 3.2537
soft ac music: 1.6113
urban ac music: 2.3972
adult album alternative: 1.5406
alternative music: 3.0504
children's music: 7.0178
classic hits: 0.0000
classical music: 5.3359
college radio: 0.7444
comedy (music and audio): 7.8278
contemporary hits/pop/top 40: 1.4315
country music: 3.0848
dance and electronic music: 7.4694
world/international music: 1.6067
songwriters/folk: 1.4272
gospel music: 3.8255
hip hop music: 3.7846
inspirational/new age music: 1.5610
jazz: 1.5599
oldies/adult standards: 0.0000
reggae: 2.1428
blues: 0.7004
religious (music and audio): 11.9207
r&b/soul/funk: 5.0442
rock music: 3.1912
soundtracks, tv and showtunes: 11.3888
sports radio: 4.6258
talk radio: 0.7344
urban contemporary music: 2.3937
variety (music and audio): 8.4868
news and politics: 4.7867
crime: 0.7826
disasters: 1.4364
international news: 2.4816
law: 3.8483
local news: 3.2284
national news: 4.7244
weather: 3.9094
personal finance: 4.7368
consumer banking: 0.8424
financial assistance: 2.2092
financial planning: 1.5444
frugal living: 0.8430
personal debt: 2.3532
personal investing: 2.5613
personal taxes: 2.3011
retirement planning: 0.7178
home utilities: 1.4813
birds: 7.1608
cats: 3.8594
dogs: 7.6046
fish and aquariums: 3.7740
large animals: 4.9549
pet adoptions: 2.4676
reptiles: 5.4150
veterinary medicine: 2.3608
pet supplies: 3.1093
pop culture: 2.9379
humor and satire: 2.6021
apartments: 5.3144
retail property: 5.1964
vacation properties: 5.4874
developmental sites: 0.0000
hotel properties: 6.0673
houses: 6.9810
industrial property: 2.3566
land and farms: 1.6723
office property: 3.1472
real estate buying and selling: 4.6732
real estate renting and leasing: 4.6775
religion & spirituality: 3.9713
agnosticism: 0.7634
spirituality: 4.5773
astrology: 2.5018
atheism: 2.2003
buddhism: 3.6711
christianity: 7.3939
hinduism: 7.3588
islam: 1.4623
judaism: 1.4923
sikhism: 0.7392
biological sciences: 2.4237
chemistry: 2.3335
genetics: 2.3413
geography: 2.2521
geology: 3.7517
physics: 7.6590
space and astronomy: 4.4643
coupons and discounts: 1.4982
flower shopping: 0.9008
gifts and greetings cards: 0.0000
grocery shopping: 1.7491
holiday shopping: 3.3406
household supplies: 0.7030
lotteries and scratchcards: 2.1893
sales and promotions: 3.3020
children's games and toys: 9.1674
american football: 2.3009
boxing: 6.6719
cheerleading: 0.7499
college sports: 6.7595
cricket: 10.5740
cycling: 1.5116
darts: 4.3385
disabled sports: 3.7844
diving: 0.7819
equine sports: 5.2422
extreme sports: 3.7183
australian rules football: 4.6112
fantasy sports: 3.0922
field hockey: 5.3352
figure skating: 3.7419
fishing sports: 8.2236
golf: 9.5628
gymnastics: 11.2278
hunting and shooting: 1.4989
ice hockey: 3.7064
inline skating: 1.4875
lacrosse: 2.9508
auto racing: 5.3985
martial arts: 9.6599
olympic sports: 10.7170
poker and professional gambling: 4.8210
rodeo: 0.7047
rowing: 2.9963
rugby: 9.6820
sailing: 1.5655
skiing: 2.1523
snooker/pool/billiards: 21.2601
soccer: 23.4253
badminton: 12.6274
softball: 4.4903
squash: 2.8250
swimming: 5.0941
table tennis: 4.6367
tennis: 17.9436
track and field: 0.7411
volleyball: 21.1019
walking: 2.9331
water polo: 2.1658
weightlifting: 4.5893
baseball: 15.1105
wrestling: 2.8744
basketball: 20.9509
beach volleyball: 3.1491
bodybuilding: 4.6461
bowling: 5.8126
sports equipment: 5.2733
style & fashion: 4.2238
beauty: 3.0766
women's accessories: 3.7137
women's clothing: 5.3706
women's shoes and footwear: 3.8494
body art: 3.0658
children's clothing: 5.4547
designer clothing: 5.3044
fashion trends: 4.8001
high fashion: 5.4301
men's accessories: 3.0076
men's clothing: 5.2589
men's shoes and footwear: 3.7745
bath and shower: 0.7062
deodorant and antiperspirant: 0.0000
oral care: 0.8451
shaving: 0.0000
street style: 1.6848
technology & computing: 3.8706
artificial intelligence: 0.0000
augmented reality: 0.7338
computer networking: 0.7485
computer peripherals: 3.9002
3-d graphics: 0.0000
photo editing software: 3.1147
shareware and freeware: 0.7483
video software: 2.4684
web conferencing: 1.4448
antivirus software: 0.8719
browsers: 4.4588
computer animation: 2.1587
databases: 2.2120
desktop publishing: 0.8705
digital audio: 1.4918
graphics software: 3.1754
operating systems: 1.4694
data storage and warehousing: 0.7559
desktops: 6.0947
information and network security: 0.7440
internet: 8.2160
cloud computing: 0.0000
web development: 2.3193
web hosting: 0.7420
email: 0.0000
internet of things: 1.5996
web design and html: 2.3524
laptops: 6.0433
programming languages: 1.4371
cameras and camcorders: 3.0355
home entertainment systems: 3.6188
smartphones: 6.0558
tablets and e-readers: 2.9207
wearable technology: 2.4499
robotics: 1.4289
virtual reality: 0.7338
television: 17.6380
animation tv: 5.3842
soap opera tv: 2.4671
special interest tv: 1.5890
sports tv: 9.1911
children's tv: 6.2141
comedy tv: 4.9186
drama tv: 3.8748
factual tv: 5.2079
holiday tv: 2.4774
music tv: 7.0240
reality tv: 1.5541
science fiction tv: 5.2818
africa travel: 3.8054
asia travel: 4.5232
australia and oceania travel: 1.6423
europe travel: 0.8978
north america travel: 2.3653
polar travel: 1.5309
south america travel: 3.8311
travel preparation and advice: 1.5747
adventure travel: 10.0571
family travel: 3.3149
honeymoons and getaways: 6.4465
hotels and motels: 5.8509
rail travel: 0.8741
road trips: 4.4245
spas: 1.4502
air travel: 5.3928
beach travel: 5.2645
bed & breakfasts: 0.0000
budget travel: 1.6650
business travel: 6.2486
camping: 0.7190
cruises: 2.9828
day trips: 4.4341
video gaming: 13.4797
console games: 10.5233
mobile games: 5.2598
pc games: 8.9456
action video games: 12.5064
role-playing video games: 11.4948
simulation video games: 9.7956
sports video games: 22.1219
strategy video games: 10.6395
action-adventure video games: 13.9198
adventure video games: 14.0052
casual games: 0.8509
educational video games: 10.3547
exercise and fitness video games: 13.7171
mmos: 3.5880
music and party video games: 10.4910
puzzle video games: 12.0481
sensitive topics: 0.7277

Parent assignments (child -> parent(s)):
entertainment -> None (top-level)
novels -> literature (sim: 0.9081), children's literature (sim: 0.7859)
news -> media (sim: 0.8611), event (sim: 0.7310)
social media -> media (sim: 0.7491)
learning -> education (sim: 0.7945), literacy (sim: 0.7718)
education -> None (top-level)
science -> technology (sim: 0.8139)
media -> entertainment (sim: 0.7359)
wiki -> information (sim: 0.7406), informational (sim: 0.7181)
information -> news (sim: 0.8193)
math -> mathematics (sim: 1.0640), physics (sim: 0.7219)
history -> heritage (sim: 0.7691), genealogy and ancestry (sim: 0.7322)
technology -> technology industry (sim: 0.9211)
innovation -> technology (sim: 0.7539), discoveries (sim: 0.7519)
health -> None (top-level)
wellness -> health (sim: 0.8440), fitness (sim: 0.7856)
sports -> entertainment (sim: 0.7181)
politics -> news and politics (sim: 0.9821), political event (sim: 0.8902)
government -> politics (sim: 0.7937), news and politics (sim: 0.7138)
business -> None (top-level)
finance -> None (top-level)
music -> entertainment (sim: 0.8129)
travel -> None (top-level)
lifestyle -> hobbies (sim: 0.7456), wellness (sim: 0.7194)
art -> crafts (sim: 0.7693)
culture -> heritage (sim: 0.7325), cultural & community events (sim: 0.7220)
food -> None (top-level)
environment -> nature (sim: 0.7701)
sustainability -> None (top-level)
psychology -> science (sim: 0.7391), physics (sim: 0.7352)
philosophy -> psychology (sim: 0.7328)
literature -> None (top-level)
gaming -> entertainment (sim: 0.7737), sports (sim: 0.7585)
comedy -> entertainment (sim: 0.7276), movies (sim: 0.7110)
fashion -> None (top-level)
design -> style (sim: 0.7680), designer clothing (sim: 0.7073)
mathematics -> physics (sim: 0.7524), science (sim: 0.7209)
literacy -> literature (sim: 0.7982), education (sim: 0.7958)
astronomy -> science (sim: 0.8765), physics (sim: 0.7580)
climate -> weather (sim: 0.9317), environment (sim: 0.8618)
architecture -> houses (sim: 0.7816), design (sim: 0.7014)
gadgets -> technology (sim: 0.7786)
software -> technology (sim: 0.7492)
style -> fashion (sim: 0.9211)
fitness -> exercise (sim: 0.9266), health (sim: 0.7473)
recipes -> cooking (sim: 0.9403), cookbooks (sim: 0.9362)
cooking -> food (sim: 0.8622)
destinations -> travel (sim: 0.8280), tourism (sim: 0.7538)
adventures -> adventure travel (sim: 0.9571), adventure video games (sim: 0.8369)
events -> event (sim: 1.0848), concerts (sim: 0.7748)
entrepreneurship -> business (sim: 0.8208)
courses -> golf (sim: 0.7891), education (sim: 0.7512)
esports -> sports video games (sim: 0.8455), sports (sim: 0.8263)
reviews -> gadgets & reviews (sim: 0.9022)
manga -> literature (sim: 0.7375), children's literature (sim: 0.7308)
comics -> manga (sim: 0.7915), comedy (sim: 0.7375)
albums -> music (sim: 0.8334), concerts (sim: 0.7675)
concerts -> music (sim: 0.8103), entertainment (sim: 0.7827)
movies -> entertainment (sim: 0.7547)
films -> movies (sim: 1.0433)
photography -> painting (sim: 0.7379), outdoor activities (sim: 0.7155)
diy -> crafts (sim: 0.7234)
crafts -> None (top-level)
home improvement -> houses (sim: 0.7035)
pets -> animals (sim: 1.0522)
animals -> None (top-level)
care -> healthcare (sim: 0.7459), health (sim: 0.7105)
parenting -> kids (sim: 0.7323), children (sim: 0.7319)
family -> family and children movies (sim: 0.7942), marriage (sim: 0.7064)
kids -> children (sim: 1.0818), children's games and toys (sim: 0.7977)
current affairs -> None (top-level)
research -> science (sim: 0.7539), information (sim: 0.7359)
discoveries -> science (sim: 0.7619), astronomy (sim: 0.7434)
heritage -> property (sim: 0.7211), tourism (sim: 0.7001)
investing -> finance (sim: 0.7589), betting (sim: 0.7552)
cryptocurrency -> None (top-level)
automotive -> manufacturing industry (sim: 0.7083)
cars -> automotive (sim: 0.9377), animals (sim: 0.7220)
motorcycles -> cars (sim: 0.7490), hobby (sim: 0.7057)
real estate -> property (sim: 0.9691), real estate industry (sim: 0.7930)
property -> None (top-level)
housing -> houses (sim: 0.9808), apartments (sim: 0.8539)
nature -> outdoor activities (sim: 0.7766), animals (sim: 0.7704)
mental health -> health (sim: 0.8644), wellness (sim: 0.7394)
self-help -> None (top-level)
startups -> entrepreneurship (sim: 0.8477), business (sim: 0.7224)
poetry -> literature (sim: 0.8420), novels and literature (sim: 0.7714)
writing -> poetry (sim: 0.7484), literature (sim: 0.7434)
marketing -> business (sim: 0.7450)
influencers -> None (top-level)
gambling -> casinos (sim: 0.9418), gaming (sim: 0.7574)
casinos -> gaming (sim: 0.7591), snooker/pool/billiards (sim: 0.7162)
betting -> gambling (sim: 0.9712), casinos & gambling (sim: 0.8014)
space -> space and astronomy (sim: 0.9133)
astrophysics -> astronomy (sim: 0.9624), physics (sim: 0.8783)
nutrition -> food (sim: 0.8620), fitness (sim: 0.7362)
exercise -> sports (sim: 0.7578), basketball (sim: 0.7507)
shopping -> fashion (sim: 0.7400), retail industry (sim: 0.7272)
sales -> marketing (sim: 0.7896), shopping (sim: 0.7008)
deals -> sales (sim: 0.7548)
luxury -> lifestyle (sim: 0.7106), high fashion (sim: 0.7079)
high-end -> high fashion (sim: 0.8706), luxury (sim: 0.7454)
blockchain -> cryptocurrency (sim: 0.7711)
nfts -> None (top-level)
vacation -> travel (sim: 0.8696)
holidays -> vacation (sim: 0.8028)
getaways -> vacation (sim: 0.8147), travel (sim: 0.7926)
interior -> interior decorating (sim: 0.8770)
weddings -> wedding (sim: 1.1044), marriage (sim: 0.9588)
marriage -> None (top-level)
humor -> comedy (sim: 0.9626), comedy (music and audio) (sim: 0.7599)
funny -> humor (sim: 0.9711), comedy (sim: 0.9292)
banks -> hospitals (sim: 0.7398), finance (sim: 0.7396)
insurance -> auto insurance (sim: 0.9732), healthcare (sim: 0.7527)
universities -> college education (sim: 0.7841), education (sim: 0.7783)
online learning -> learning (sim: 0.8902), internet (sim: 0.7512)
public services -> professional services (sim: 0.7589), business services (sim: 0.7204)
legal -> None (top-level)
judiciary -> judiciary & legal (sim: 1.0121), law (sim: 0.7328)
healthcare -> health (sim: 0.8934)
hospitals -> healthcare (sim: 0.8845), healthcare industry (sim: 0.7698)
telecommunications -> telecommunications industry (sim: 1.0151), smartphones (sim: 0.7430)
anime -> manga (sim: 0.8507), movies and tv shows (sim: 0.7595)
nonprofits -> non-profit organizations (sim: 0.9373), ngos (sim: 0.9150)
ngos -> charity (sim: 0.8194)
ecommerce -> marketing (sim: 0.7963), retail industry (sim: 0.7865)
online store -> ecommerce (sim: 0.7468), internet (sim: 0.7283)
corporate -> business (sim: 0.7581)
blog -> specialized magazines & blogs (sim: 0.8411)
personal blog -> blog (sim: 1.0024), personal (sim: 0.8267)
portfolio -> investing (sim: 0.7588)
creative work -> crafts (sim: 0.7597), art (sim: 0.7235)
event -> entertainment (sim: 0.7526), concerts (sim: 0.7318)
event promotion -> event (sim: 0.9536), events (sim: 0.9169)
personal -> None (top-level)
resume -> None (top-level)
membership -> subscription (sim: 0.8412)
community -> cultural & community events (sim: 0.8104), charity (sim: 0.7034)
nonprofit -> nonprofits (sim: 1.1197), non-profit organizations (sim: 0.9047)
charity -> healthcare (sim: 0.7201)
informational -> information (sim: 0.9994), news (sim: 0.7325)
forum -> discussion (sim: 0.7535)
discussion -> None (top-level)
social network -> social networking (sim: 0.9279), social (sim: 0.8428)
startup -> startups (sim: 1.0832), entrepreneur (sim: 0.8029)
entrepreneur -> entrepreneurship (sim: 1.0401), startups (sim: 0.8326)
consulting -> None (top-level)
professional services -> business services (sim: 0.7331)
booking -> event planning (sim: 0.7294)
appointments -> booking (sim: 0.8072)
petition -> activism (sim: 0.7409)
activism -> charity (sim: 0.7137)
school -> education (sim: 0.8863)
hobby -> hobbies (sim: 1.0023), crafts (sim: 0.7952)
interest -> hobbies & interests (sim: 0.8699), hobbies (sim: 0.7256)
interactive -> entertainment (sim: 0.7831)
engagement -> wedding (sim: 0.8526), marriage (sim: 0.8448)
wedding -> marriage (sim: 0.9671), event (sim: 0.7324)
event planning -> event (sim: 0.8885), events (sim: 0.8871)
tourism -> travel (sim: 0.8307), vacation (sim: 0.7980)
directory -> databases (sim: 0.7426)
listing -> hotel properties (sim: 0.7115), property (sim: 0.7077)
landing page -> None (top-level)
magazine -> media (sim: 0.7286), entertainment news (sim: 0.7192)
memorial -> event (sim: 0.7163)
tribute -> memorial (sim: 0.9436)
subscription -> magazine (sim: 0.8158)
content service -> subscription (sim: 0.7172)
kid-friendly -> kids (sim: 0.8642), children (sim: 0.8240)
children -> school (sim: 0.7051)
novels and literature -> literature (sim: 1.0691), novels (sim: 1.0044)
movies and tv shows -> movies (sim: 0.8842), television (sim: 0.8751)
music and audio -> music (sim: 0.9011), religious (music and audio) (sim: 0.8133)
arts and culture -> culture (sim: 0.9866), art (sim: 0.8162)
investment & trading -> investing (sim: 0.9391)
e-commerce & retail -> ecommerce (sim: 0.8813), retail industry (sim: 0.7739)
business services -> business (sim: 0.9356), business travel (sim: 0.7136)
universities & colleges -> universities (sim: 0.9678), education (sim: 0.7568)
k-12 & schools -> school (sim: 0.8780), education (sim: 0.7642)
online learning & moocs -> online learning (sim: 0.7797), online education (sim: 0.7527)
professional development -> professional services (sim: 0.7112)
educational resources -> education (sim: 0.8723), research (sim: 0.7157)
federal, state, & local -> None (top-level)
public safety & law enforcement -> None (top-level)
judiciary & legal -> legal (sim: 0.9196), law (sim: 0.8021)
public utilities & infrastructure -> None (top-level)
civic engagement -> None (top-level)
hospitals & clinics -> hospitals (sim: 0.9533), healthcare (sim: 0.8256)
health information & wellness -> wellness (sim: 0.9695), health (sim: 0.8779)
pharmaceutical & drug information -> information (sim: 0.8796), informational (sim: 0.8066)
fitness & lifestyle -> fitness (sim: 0.9711), lifestyle (sim: 0.9531)
mental health & counseling -> mental health (sim: 0.8135), self-help (sim: 0.7036)
tech companies & startups -> startups (sim: 1.0539), startup (sim: 0.9679)
research & development -> research (sim: 0.8000), innovation (sim: 0.7083)
gadgets & reviews -> gadgets (sim: 0.9007)
software & applications -> software (sim: 0.9682), technology & computing (sim: 0.7166)
scientific organizations -> science (sim: 0.7966), ngos (sim: 0.7439)
general news portals -> news (sim: 0.8081), media (sim: 0.7547)
local & community news -> community (sim: 0.8344), news (sim: 0.8231)
specialized magazines & blogs -> magazine (sim: 0.8613), media (sim: 0.7210)
journalism & opinion -> news (sim: 0.7386), media (sim: 0.7359)
entertainment news -> news (sim: 0.9765), entertainment (sim: 0.9526)
social -> social media (sim: 0.7896), community (sim: 0.7103)
social networking -> social media (sim: 0.8368), social (sim: 0.8192)
online forums & discussion boards -> forum (sim: 0.8977), discussion (sim: 0.7677)
nonprofits & ngos -> ngos (sim: 1.0611), nonprofits (sim: 1.0466)
cultural & community events -> events (sim: 0.9290), event (sim: 0.8816)
travel & tourism -> tourism (sim: 1.0161), travel (sim: 0.8876)
food & dining -> food (sim: 0.8842), food & drink (sim: 0.7999)
fashion & beauty -> fashion (sim: 0.9017), style & fashion (sim: 0.8201)
home & garden -> gardening (sim: 0.8628), landscaping (sim: 0.7508)
personal finance & lifestyle management -> lifestyle (sim: 0.8188), personal finance (sim: 0.7928)
professional leagues & teams -> sports (sim: 0.7695)
sports news & analysis -> sports (sim: 0.8506), news (sim: 0.7717)
fan communities & forums -> forum (sim: 0.8618), community (sim: 0.7807)
fitness & outdoor sports -> fitness (sim: 0.9462), sports (sim: 0.8840)
law firms & legal services -> legal services industry (sim: 0.8170), law (sim: 0.7060)
legal information & resources -> information (sim: 0.8504), legal (sim: 0.8058)
regulatory & compliance -> None (top-level)
hobbies -> crafts (sim: 0.7659), entertainment (sim: 0.7401)
arts & crafts -> crafts (sim: 0.9714), arts and crafts (sim: 0.9668)
